種類,価格情報区分,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（総額）,坪単価,間取り,面積（㎡）,取引価格（㎡単価）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時期,改装,取引の事情等
中古マンション等,成約価格情報,,11201,埼玉県,川越市,岸町,川越,15,19000000,,１ＬＤＫ＋Ｓ,75,,,,,1989年,,,,,,,１中住専,,,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,岸町,川越,18,11000000,,３ＬＤＫ,70,,,,,1996年,ＲＣ,,,,,,１中住専,,,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,岸町,川越,21,13000000,,１ＬＤＫ＋Ｓ,55,,,,,1991年,ＲＣ,,,,,,１中住専,,,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,幸町,本川越,13,12000000,,２ＬＤＫ,65,,,,,1978年,ＲＣ,,,,,,商業,,,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字砂新田,新河岸,25,6000000,,３ＤＫ,60,,,,60,1989年,木造,,,南東,公道,5.4,１低住専,50,100,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,野田町,川越市,15,51000000,,４ＬＤＫ,115,,,,115,2013年,鉄骨造,,,西,公道,6.8,１種住居,60,200,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字南田島,南古谷,15,8000000,,３ＤＫ,55,,,,,1993年,ＲＣ,,,,,,準工業,,,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,南大塚,南大塚,,13000000,,６ＤＫ,195,,,,140,1990年,木造,,,,,,１低住専,50,80,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,南大塚,南大塚,15,15000000,,４ＬＤＫ,120,,,,95,2001年,木造,,,北,公道,4.2,１低住専,50,80,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,むさし野,川越,,19000000,,４ＬＤＫ,110,,,,110,2004年,木造,,,南,公道,4.2,１中住専,60,160,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,稲荷町,上福岡,20,19000000,,４ＬＤＫ,125,,,,95,1997年,木造,,,北西,公道,6,１中住専,60,200,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,岸町,川越,25,27000000,,４ＬＤＫ＋Ｓ,145,,,,115,2009年,木造,,,東,公道,4.2,１種住居,60,200,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,岸町,新河岸,15,28000000,,４ＬＤＫ＋Ｓ,100,,,,105,2017年,木造,,,南,公道,6,１種住居,60,200,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,岸町,川越,17,14000000,,３ＬＤＫ＋Ｓ,85,,,,,1998年,ＲＣ,,,,,,１中住専,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,岸町,川越,15,16000000,,２ＬＤＫ,75,,,,,1999年,ＲＣ,,,,,,１種住居,,,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,岸町,川越,20,15000000,,３ＤＫ,100,,,,100,1996年,木造,,,東,公道,4,１種住居,60,200,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,岸町,川越,17,11000000,,３ＬＤＫ,80,,,,,1987年,ＲＣ,,,,,,,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,田町,川越市,5,8300000,,２ＤＫ,65,,,,,1978年,ＲＣ,,,,,,１種住居,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字南田島,南古谷,15,9300000,,３ＤＫ,55,,,,,1993年,ＲＣ,,,,,,準工業,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字南田島,南古谷,16,13000000,,３ＬＤＫ,65,,,,,1995年,ＲＣ,,,,,,,,,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字山田,川越,,5100000,,３Ｋ,60,,,,55,1991年,木造,,,東,公道,4,１低住専,50,80,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字山田,本川越,,12000000,,３ＬＤＫ,125,,,,100,1993年,木造,,,南東,公道,4.6,１種住居,60,184,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,六軒町,川越市,4,34000000,,３ＬＤＫ,70,,,,,2014年,ＳＲＣ,,,,,,近隣商業,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,中台,川越,25,7000000,,３ＬＤＫ,65,,,,,1983年,ＲＣ,,,,,,,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,中台,川越,,3000000,,３ＤＫ,55,,,,,1974年,ＲＣ,,,,,,１中住専,,,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,稲荷町,上福岡,15,25000000,,４ＤＫ＋Ｓ,165,,,,120,2003年,軽量鉄骨造,,,南東,公道,9.5,１中住専,60,200,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字大仙波,川越,20,22000000,,４ＬＤＫ,115,,,,95,2001年,木造,,,南,公道,4.2,準工業,70,168,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,岸町,川越,14,21000000,,３ＬＤＫ,70,,,,,2008年,ＲＣ,,,,,,１種住居,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,岸町,川越,20,8500000,,３Ｋ,55,,,,,1986年,ＲＣ,,,,,,１中住専,,,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,岸町,新河岸,20,23000000,,４ＬＤＫ,130,,,,100,2005年,木造,,,南東,公道,4.2,１中住専,60,200,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,岸町,川越,14,19000000,,１ＬＤＫ＋Ｓ,60,,,,,2008年,ＲＣ,,,,,,,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,岸町,川越,19,9200000,,３ＬＤＫ,75,,,,,1990年,ＲＣ,,,,,,１種住居,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,久保町,本川越,13,19000000,,１ＬＤＫ＋Ｓ,65,,,,,1997年,ＲＣ,,,,,,１種住居,,,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字小仙波,川越,,38000000,,３ＬＤＫ,105,,,,95,2021年,木造,,,,公道,3.5,準工業,60,200,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字砂新田,新河岸,15,6800000,,４Ｋ,65,,,,60,1968年,木造,,,南,,4,１低住専,60,100,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,中原町,本川越,6,26000000,,３ＬＤＫ,70,,,,,1997年,ＳＲＣ,,,,,,商業,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,中原町,本川越,6,27000000,,３ＬＤＫ,70,,,,,1997年,ＳＲＣ,,,,,,商業,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字南田島,南古谷,15,11000000,,２ＬＤＫ,55,,,,,1991年,ＲＣ,,,,,,準工業,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,南大塚,南大塚,13,15000000,,３ＬＤＫ,75,,,,,2008年,ＲＣ,,,,,,１種住居,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,南大塚,南大塚,13,14000000,,３ＬＤＫ,75,,,,,2008年,ＲＣ,,,,,,１種住居,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,南大塚,南大塚,6,8500000,,３ＤＫ,55,,,,,1989年,ＲＣ,,,,,,準工業,,,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,南大塚,南大塚,15,28000000,,４ＬＤＫ,120,,,,95,,木造,,,南,公道,4,１低住専,50,80,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,南大塚,南大塚,5,20000000,,３ＬＤＫ,75,,,,,2003年,ＲＣ,,,,,,準住居,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,中台,川越,,5800000,,３ＬＤＫ,65,,,,,1983年,ＲＣ,,,,,,準工業,,,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,稲荷町,新河岸,20,29000000,,４ＬＤＫ,125,,,,100,2014年,木造,,,北西,公道,8,１中住専,60,200,2021年第4四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,稲荷町,新河岸,20,25000000,,４ＬＤＫ,105,,,,95,2014年,木造,,,北西,公道,8,１中住専,60,200,2021年第4四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字上戸,霞ケ関(埼玉),10,31000000,,４ＬＤＫ,105,,,,95,,木造,,,西,公道,4,１低住専,50,100,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字小ケ谷,西川越,7,9500000,,２ＬＤＫ,60,,,,,1994年,ＲＣ,,,,,,２種住居,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,岸町,川越,15,19000000,,３ＬＤＫ,65,,,,,2008年,ＲＣ,,,,,,１種住居,,,2021年第4四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,岸町,川越,20,20000000,,４ＬＤＫ,90,,,,100,2007年,木造,,,北,公道,4,１種住居,60,160,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,岸町,川越,12,16000000,,３ＤＫ,60,,,,,1991年,ＲＣ,,,,,,２種住居,,,2021年第4四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,岸町,新河岸,20,30000000,,４ＬＤＫ,190,,,,165,2003年,木造,,,北東,公道,4.2,１種住居,60,168,2021年第4四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,岸町,川越,25,17000000,,４ＬＤＫ,100,,,,95,2002年,木造,,,,,,１種住居,60,200,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,中原町,川越市,3,23000000,,３ＬＤＫ,75,,,,,1981年,ＳＲＣ,,,,,,２種住居,,,2021年第4四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字藤間,上福岡,20,18000000,,３ＬＤＫ＋Ｓ,95,,,,110,2000年,木造,,,北西,公道,3,１中住専,60,160,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字藤間,新河岸,7,9000000,,２ＬＤＫ,55,,,,,1984年,ＳＲＣ,,,,,,１種住居,,,2021年第4四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字藤間,上福岡,10,5500000,,３Ｋ,45,,,,50,1982年,木造,,,南西,私道,2.8,１種住居,60,200,2021年第4四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,豊田町,川越,25,14000000,,４ＬＤＫ,110,,,,95,1996年,木造,,,南,公道,3.3,１低住専,50,80,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,南大塚,南大塚,4,15000000,,２ＬＤＫ＋Ｓ,60,,,,,1994年,ＲＣ,,,,,,１種住居,,,2021年第4四半期,改装済み,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,南大塚,南大塚,5,19000000,,２ＬＤＫ＋Ｓ,75,,,,,2003年,ＲＣ,,,,,,準住居,,,2021年第4四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,南大塚,南大塚,15,21000000,,３ＬＤＫ,110,,,,90,2001年,軽量鉄骨造,,,南西,公道,4.2,１低住専,50,80,2021年第4四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,南大塚,南大塚,15,33000000,,５ＬＤＫ＋Ｓ,210,,,,130,1991年,木造,,,北東,公道,4,１種住居,60,200,2021年第4四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,中台,南大塚,25,14000000,,４ＤＫ,100,,,,70,1998年,木造,,,西,公道,4,１中住専,60,160,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,中台,川越,,8500000,,３ＬＤＫ,65,,,,,1983年,ＳＲＣ,,,,,,準工業,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,中台,川越,,6300000,,２ＬＤＫ,55,,,,,1974年,ＲＣ,,,,,,１中住専,,,2021年第4四半期,改装済み,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,旭町,川越,11,22000000,,３ＬＤＫ,80,,,,,2004年,ＲＣ,,,,,,準住居,,,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,旭町,川越,11,26000000,,３ＬＤＫ,80,,,,,2004年,ＲＣ,,,,,,準工業,,,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,川鶴,鶴ケ島,,14000000,,４ＬＤＫ,195,,,,100,1987年,木造,,,西,公道,9.4,２低住専,60,200,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,川鶴,鶴ケ島,,13000000,,４ＬＤＫ,110,,,,95,1996年,木造,,,北西,公道,16,２低住専,60,200,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,川鶴,鶴ケ島,,17000000,,５ＬＤＫ,215,,,,150,1987年,軽量鉄骨造,,,南東,公道,9,１種住居,60,200,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字鯨井新田,鶴ケ島,10,2500000,,１Ｒ,20,,,,,1988年,ＲＣ,,,,,,２種住居,,,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字鯨井新田,鶴ケ島,5,22000000,,２ＬＤＫ,75,,,,,1992年,ＲＣ,,,,,,２種住居,,,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,菅原町,川越,6,27000000,,３ＬＤＫ,65,,,,,1999年,ＳＲＣ,,,,,,商業,,,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷上,川越,,3500000,,３ＬＤＫ,75,,,,,1985年,ＲＣ,,,,,,,,,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷上,川越,,8400000,,３ＬＤＫ,75,,,,,1984年,ＳＲＣ,,,,,,,,,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,松江町,本川越,8,13000000,,２ＤＫ＋Ｓ,50,,,,,1985年,ＲＣ,,,,,,商業,,,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字的場,的場,5,8900000,,２ＬＤＫ,65,,,,55,1973年,木造,,,北,公道,5.5,１低住専,50,100,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字的場,霞ケ関(埼玉),15,26000000,,３ＬＤＫ,125,,,,115,2012年,木造,,,南,公道,6,１低住専,50,80,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字的場,的場,10,26000000,,４ＬＤＫ,150,,,,105,2013年,木造,,,北,公道,4,１種住居,60,200,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字的場,霞ケ関(埼玉),10,8000000,,４ＤＫ,75,,,,90,,木造,,,,公道,,１種住居,60,200,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字的場,霞ケ関(埼玉),10,15000000,,２ＬＤＫ,130,,,,90,1993年,木造,,,北西,公道,6.6,１低住専,50,100,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大塚,川越,25,52000000,,４ＬＫ＋Ｓ,235,,,,145,2016年,木造,,,西,公道,4,１低住専,50,80,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,旭町,川越,15,42000000,,３ＬＤＫ,110,,,,90,2018年,木造,,,北東,公道,4,準住居,60,200,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,旭町,川越,14,16000000,,３ＬＤＫ＋Ｓ,80,,,,,1984年,ＳＲＣ,,,,,,１種住居,,,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,旭町,川越,20,40000000,,３ＬＤＫ,115,,,,100,2021年,木造,,,北西,公道,4,１種住居,60,200,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字大袋新田,南大塚,10,17000000,,４ＬＤＫ,75,,,,,2004年,ＲＣ,,,,,,,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,広栄町,川越,18,6500000,,２ＤＫ,50,,,,,1988年,ＲＣ,,,,,,,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,菅原町,川越,4,36000000,,３ＬＤＫ,65,,,,,2011年,ＲＣ,,,,,,商業,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,菅原町,川越,5,23000000,,１ＬＤＫ,55,,,,,2007年,ＲＣ,,,,,,商業,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,菅原町,川越,5,14000000,,２ＤＫ,50,,,,,1993年,ＳＲＣ,,,,,,商業,,,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,仙波町,川越,20,58000000,,４ＬＤＫ,210,,,,140,1993年,木造,,,南,公道,4,１中住専,60,200,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,仙波町,川越,8,29000000,,３ＬＤＫ,80,,,,,2001年,ＲＣ,,,,,,２中住専,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,西小仙波町,本川越,12,17000000,,１ＬＤＫ＋Ｓ,75,,,,,1987年,ＲＣ,,,,,,商業,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,西小仙波町,本川越,7,27000000,,３ＬＤＫ,60,,,,,1995年,ＲＣ,,,,,,１種住居,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,西小仙波町,本川越,7,18000000,,２ＬＤＫ,60,,,,,1995年,ＲＣ,,,,,,１種住居,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷上,川越,,5300000,,３ＬＤＫ,75,,,,,,,,,,,,,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷上,川越,,4400000,,３ＬＤＫ＋Ｓ,80,,,,,1984年,ＲＣ,,,,,,,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷上,川越,,4900000,,３ＬＤＫ,85,,,,,1985年,ＲＣ,,,,,,,,,2021年第2四半期,改装済み,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷上,川越,,3200000,,３ＬＤＫ,75,,,,,1983年,ＲＣ,,,,,,,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷上,川越,,4500000,,３ＬＤＫ,75,,,,,1984年,ＲＣ,,,,,,,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,松江町,本川越,8,32000000,,２ＬＤＫ＋Ｓ,65,,,,,2012年,ＲＣ,,,,,,商業,,,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字的場,的場,15,10000000,,４ＤＫ,120,,,,80,1981年,木造,,,南,公道,5,１低住専,50,80,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字的場,霞ケ関(埼玉),15,18000000,,４ＬＤＫ＋Ｓ,110,,,,145,1999年,木造,,,北東,公道,4.2,１種住居,60,168,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字的場,霞ケ関(埼玉),13,17000000,,３ＬＤＫ,65,,,,,1994年,ＳＲＣ,,,,,,,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,吉田新町,鶴ケ島,23,6000000,,３ＬＤＫ,75,,,,,1983年,ＲＣ,,,,,,１中住専,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,脇田本町,川越,5,31000000,,３ＬＤＫ,75,,,,,1999年,ＳＲＣ,,,,,,商業,,,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,かし野台,南大塚,20,16000000,,４ＬＤＫ,100,,,,95,1999年,木造,,,南西,公道,4,準工業,60,160,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,旭町,川越,14,15000000,,３ＬＤＫ,65,,,,,1984年,ＳＲＣ,,,,,,１種住居,,,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,旭町,川越,10,5500000,,２ＬＤＫ,50,,,,60,1979年,鉄骨造,,,北西,公道,4,２種住居,60,200,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,川鶴,鶴ケ島,,16000000,,４ＬＤＫ,170,,,,110,1989年,木造,,,北西,公道,16,２低住専,60,200,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,熊野町,上福岡,14,16000000,,３ＬＤＫ,70,,,,,1986年,ＲＣ,,,,,,１中住専,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,神明町,川越市,,21000000,,３ＬＤＫ,80,,,,,2008年,ＲＣ,,,,,,準工業,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,菅原町,川越,4,34000000,,３ＬＤＫ,65,,,,,2011年,ＲＣ,,,,,,商業,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,菅原町,川越,6,32000000,,３ＬＤＫ,65,,,,,1999年,ＳＲＣ,,,,,,商業,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,菅原町,川越,3,36000000,,３ＬＤＫ,75,,,,,2005年,ＲＣ,,,,,,商業,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,諏訪町,,,14000000,,３ＬＤＫ,60,,,,,,,,,,,,,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷上,川越,,4200000,,３ＬＤＫ,75,,,,,1983年,ＲＣ,,,,,,,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷上,川越,,2800000,,３ＬＤＫ,75,,,,,1985年,ＲＣ,,,,,,,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷上,川越,,9800000,,２ＬＤＫ＋Ｓ,75,,,,,1989年,ＲＣ,,,,,,,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷上,川越,,5800000,,２ＬＤＫ,75,,,,,1983年,ＲＣ,,,,,,,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷上,川越,,5500000,,３ＬＤＫ,75,,,,,1984年,ＲＣ,,,,,,,,,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字的場,霞ケ関(埼玉),10,20000000,,３ＬＤＫ,80,,,,80,2016年,木造,,,西,公道,4,１低住専,50,100,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字的場,的場,9,13000000,,３ＬＤＫ,65,,,,,1994年,ＳＲＣ,,,,,,１種住居,,,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字的場,笠幡,20,24000000,,４ＬＤＫ,135,,,,100,2018年,木造,,,,公道,,１種住居,60,168,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,吉田新町,鶴ケ島,,7900000,,３ＬＤＫ,80,,,,,1983年,ＲＣ,,,,,,１中住専,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,吉田新町,鶴ケ島,23,7300000,,３ＬＤＫ,75,,,,,1983年,ＲＣ,,,,,,１中住専,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,脇田本町,川越,4,13000000,,３ＤＫ,65,,,,,1981年,,,,,,,,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,脇田本町,川越,3,24000000,,１ＬＤＫ,45,,,,,2009年,ＲＣ,,,,,,,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,脇田本町,川越,5,33000000,,３ＬＤＫ,70,,,,,2003年,ＳＲＣ,,,,,,近隣商業,,,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大塚新町,南大塚,10,30000000,,４ＬＤＫ,150,,,,110,2013年,木造,,,北西,公道,6,１種住居,60,200,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,旭町,川越,,3000000,,２ＤＫ,40,,,,,1978年,鉄骨造,,,,,,,,,2021年第4四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,旭町,川越,15,36000000,,３ＬＤＫ,110,,,,85,2021年,木造,,,北東,公道,4.2,１種住居,60,168,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字大袋新田,南大塚,12,12000000,,３ＤＫ,70,,,,,1998年,ＲＣ,,,,,,準工業,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字鯨井新田,鶴ケ島,7,18000000,,３ＬＤＫ,75,,,,,1999年,ＲＣ,,,,,,２種住居,,,2021年第4四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,広栄町,川越,25,36000000,,４ＬＤＫ,185,,,,180,1990年,木造,,,北西,公道,5.7,１中住専,60,200,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,神明町,川越,,21000000,,３ＬＤＫ,70,,,,,2008年,ＲＣ,,,,,,,,,2021年第4四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,神明町,本川越,25,33000000,,４ＬＤＫ,120,,,,95,,木造,,,北,公道,6.5,１低住専,50,80,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,菅原町,川越,6,29000000,,３ＬＤＫ,65,,,,,1999年,ＳＲＣ,,,,,,商業,,,2021年第4四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,仙波町,川越,15,40000000,,４ＬＤＫ,130,,,,105,2016年,木造,,,北,公道,4,１種住居,60,160,2021年第4四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,並木西町,南古谷,10,52000000,,５ＬＤＫ＋Ｓ,300,,,,240,2000年,軽量鉄骨造,,,南東,公道,7.1,１低住専,50,80,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷上,川越,,9000000,,３ＬＤＫ,65,,,,,1989年,ＲＣ,,,,,,,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷上,,,7700000,,３ＬＤＫ,75,,,,,,,,,,,,,,,2021年第4四半期,,
